Run,EA_Count,Result,Steps,Duration_sec,Healthy_Drones,Malicious_Drones,Reformed_Drones
1,0,fail,116,10.19,5,1,0
2,0,fail,146,12.94,5,1,0
3,0,fail,131,11.61,5,1,0
4,0,fail,71,5.99,5,1,0
5,0,fail,131,10.87,5,1,0
6,0,fail,521,42.66,5,1,0
7,0,fail,176,14.57,5,1,0
8,0,fail,296,24.24,5,1,0
9,0,fail,131,10.87,5,1,0
10,0,fail,116,9.64,5,1,0
11,0,fail,221,17.75,5,1,0
12,0,fail,206,17.02,5,1,0
13,0,fail,206,16.56,5,1,0
14,0,fail,251,20.72,5,1,0
15,0,fail,146,11.77,5,1,0
16,0,fail,71,5.99,5,1,0
17,0,fail,191,15.77,5,1,0
18,0,fail,416,34.41,5,1,0
19,0,fail,116,9.66,5,1,0
20,0,fail,116,9.67,5,1,0
21,0,fail,176,14.19,5,1,0
22,0,fail,176,14.61,5,1,0
23,0,fail,116,9.74,5,1,0
24,0,fail,161,13.38,5,1,0
25,0,fail,86,7.25,5,1,0
26,0,fail,101,8.47,5,1,0
27,0,fail,191,15.83,5,1,0
28,0,fail,101,8.48,5,1,0
29,0,fail,116,9.72,5,1,0
30,0,fail,71,5.98,5,1,0
1,1,fail,101,9.98,5,1,0
2,1,fail,221,20.74,5,1,0
3,1,fail,116,10.33,5,1,0
4,1,fail,116,11.09,5,1,0
5,1,fail,86,7.94,5,1,0
6,1,fail,86,8.71,5,1,0
7,1,fail,221,20.79,5,1,0
8,1,fail,236,22.17,5,1,0
9,1,fail,101,9.64,5,1,0
10,1,fail,101,9.45,5,1,0
11,1,fail,116,11.52,5,1,0
12,1,fail,71,6.78,5,1,1
13,1,fail,147,14.05,5,1,0
14,1,fail,86,8.23,5,1,0
15,1,fail,86,8.54,5,1,0
16,1,fail,281,26.22,5,1,0
17,1,fail,281,25.76,5,1,0
18,1,fail,131,11.88,5,1,0
19,1,fail,191,17.39,5,1,0
20,1,fail,191,17.67,5,1,0
21,1,fail,146,13.54,5,1,0
22,1,fail,101,9.67,5,1,0
23,1,success,1200,109.36,5,1,1
24,1,fail,131,13.16,5,1,0
25,1,fail,86,8.29,5,1,0
26,1,fail,116,11.38,5,1,0
27,1,fail,71,6.6,5,1,0
28,1,fail,387,36.41,5,1,1
29,1,fail,71,6.77,5,1,0
30,1,fail,866,77.26,5,1,1
1,2,fail,416,37.34,5,1,1
2,2,fail,71,7.58,5,1,0
3,2,fail,416,38.26,5,1,1
4,2,fail,311,28.36,5,1,1
5,2,fail,656,58.82,5,1,1
6,2,fail,341,30.89,5,1,1
7,2,success,1200,112.19,5,1,1
8,2,fail,731,70.5,5,1,1
9,2,fail,206,20.41,5,1,0
10,2,success,1200,119.85,5,1,1
11,2,fail,131,13.15,5,1,0
12,2,fail,206,20.29,5,1,0
13,2,fail,521,50.57,5,1,0
14,2,fail,551,52.45,5,1,1
15,2,fail,1001,98.35,5,1,1
16,2,fail,101,10.65,5,1,0
17,2,success,1200,115.23,5,1,1
18,2,fail,101,11.47,5,1,0
19,2,success,1200,120.62,5,1,1
20,2,fail,116,11.57,5,1,0
21,2,fail,101,11.17,5,1,0
22,2,fail,236,22.58,5,1,1
23,2,success,1200,111.96,5,1,1
24,2,fail,71,6.71,5,1,0
25,2,success,1200,113.12,5,1,1
26,2,success,1200,114.31,5,1,1
27,2,success,1200,113.6,5,1,1
28,2,fail,446,40.79,5,1,1
29,2,fail,131,12.62,5,1,0
30,2,fail,311,30.89,5,1,1
