Run,EA_Count,Result,Steps,Duration_sec,Healthy_Drones,Malicious_Drones,Reformed_Drones
1,0,fail,146,12.67,5,1,0
1,0,fail,116,10.19,5,1,0
2,0,fail,146,12.94,5,1,0
3,0,fail,131,11.61,5,1,0
4,0,fail,71,5.99,5,1,0
5,0,fail,131,10.87,5,1,0
6,0,fail,521,42.66,5,1,0
7,0,fail,176,14.57,5,1,0
8,0,fail,296,24.24,5,1,0
9,0,fail,131,10.87,5,1,0
10,0,fail,116,9.64,5,1,0
11,0,fail,221,17.75,5,1,0
12,0,fail,206,17.02,5,1,0
13,0,fail,206,16.56,5,1,0
14,0,fail,251,20.72,5,1,0
15,0,fail,146,11.77,5,1,0
16,0,fail,71,5.99,5,1,0
17,0,fail,191,15.77,5,1,0
18,0,fail,416,34.41,5,1,0
19,0,fail,116,9.66,5,1,0
20,0,fail,116,9.67,5,1,0
21,0,fail,176,14.19,5,1,0
22,0,fail,176,14.61,5,1,0
23,0,fail,116,9.74,5,1,0
24,0,fail,161,13.38,5,1,0
25,0,fail,86,7.25,5,1,0
26,0,fail,101,8.47,5,1,0
27,0,fail,191,15.83,5,1,0
28,0,fail,101,8.48,5,1,0
29,0,fail,116,9.72,5,1,0
30,0,fail,71,5.98,5,1,0
