Run,EA_Count,Result,Steps,Duration_sec,Healthy_Drones,Malicious_Drones,Reformed_Drones
1,2,fail,416,37.34,5,1,1
2,2,fail,71,7.58,5,1,0
3,2,fail,416,38.26,5,1,1
4,2,fail,311,28.36,5,1,1
5,2,fail,656,58.82,5,1,1
6,2,fail,341,30.89,5,1,1
7,2,success,1200,112.19,5,1,1
8,2,fail,731,70.5,5,1,1
9,2,fail,206,20.41,5,1,0
10,2,success,1200,119.85,5,1,1
11,2,fail,131,13.15,5,1,0
12,2,fail,206,20.29,5,1,0
13,2,fail,521,50.57,5,1,0
14,2,fail,551,52.45,5,1,1
15,2,fail,1001,98.35,5,1,1
16,2,fail,101,10.65,5,1,0
17,2,success,1200,115.23,5,1,1
18,2,fail,101,11.47,5,1,0
19,2,success,1200,120.62,5,1,1
20,2,fail,116,11.57,5,1,0
21,2,fail,101,11.17,5,1,0
22,2,fail,236,22.58,5,1,1
23,2,success,1200,111.96,5,1,1
24,2,fail,71,6.71,5,1,0
25,2,success,1200,113.12,5,1,1
26,2,success,1200,114.31,5,1,1
27,2,success,1200,113.6,5,1,1
28,2,fail,446,40.79,5,1,1
29,2,fail,131,12.62,5,1,0
30,2,fail,311,30.89,5,1,1
