Run,EA_Count,Result,Steps,Duration_sec,Healthy_Drones,Malicious_Drones,Reformed_Drones
1,1,fail,101,9.98,5,1,0
2,1,fail,221,20.74,5,1,0
3,1,fail,116,10.33,5,1,0
4,1,fail,116,11.09,5,1,0
5,1,fail,86,7.94,5,1,0
6,1,fail,86,8.71,5,1,0
7,1,fail,221,20.79,5,1,0
8,1,fail,236,22.17,5,1,0
9,1,fail,101,9.64,5,1,0
10,1,fail,101,9.45,5,1,0
11,1,fail,116,11.52,5,1,0
12,1,fail,71,6.78,5,1,1
13,1,fail,147,14.05,5,1,0
14,1,fail,86,8.23,5,1,0
15,1,fail,86,8.54,5,1,0
16,1,fail,281,26.22,5,1,0
17,1,fail,281,25.76,5,1,0
18,1,fail,131,11.88,5,1,0
19,1,fail,191,17.39,5,1,0
20,1,fail,191,17.67,5,1,0
21,1,fail,146,13.54,5,1,0
22,1,fail,101,9.67,5,1,0
23,1,success,1200,109.36,5,1,1
24,1,fail,131,13.16,5,1,0
25,1,fail,86,8.29,5,1,0
26,1,fail,116,11.38,5,1,0
27,1,fail,71,6.6,5,1,0
28,1,fail,387,36.41,5,1,1
29,1,fail,71,6.77,5,1,0
30,1,fail,866,77.26,5,1,1
