Run,EA_Count,Result,Steps,Duration_sec,Healthy_Drones,Malicious_Drones,Reformed_Drones
1,1,fail,71,6.21,5,1,0
2,1,fail,791,73.04,5,1,1
3,1,fail,131,12.39,5,1,0
4,1,fail,86,8.05,5,1,0
5,1,fail,176,16.07,5,1,0
6,1,fail,146,14.12,5,1,1
7,1,fail,101,9.74,5,1,0
8,1,success,1200,104.66,5,1,1
9,1,fail,101,9.18,5,1,0
10,1,fail,281,26.14,5,1,0
11,1,fail,236,20.71,5,1,0
12,1,fail,161,14.36,5,1,0
13,1,fail,371,33.77,5,1,0
14,1,success,1200,103.42,5,1,1
15,1,fail,86,7.74,5,1,0
16,1,fail,116,10.5,5,1,0
17,1,fail,116,10.53,5,1,0
18,1,fail,656,56.85,5,1,1
19,1,fail,116,10.46,5,1,0
20,1,fail,221,19.8,5,1,0
21,1,fail,102,9.28,5,1,0
22,1,fail,101,9.23,5,1,0
23,1,fail,761,65.99,5,1,1
24,1,fail,311,27.58,5,1,1
25,1,fail,311,27.09,5,1,1
26,1,fail,116,10.48,5,1,0
27,1,success,1200,106.3,5,1,1
28,1,fail,521,46.97,5,1,0
29,1,fail,71,6.52,5,1,0
30,1,fail,101,9.22,5,1,1
